一径无三径	三径
阶前草色新	新
门前千树树	树
春处已长春	春风
往来天上人	人
何事不还家	家
日日无人使	使
何劳到海涯	劳
一炷一炉香	香
不在其中趣	趣
从来在人间	人间
昨夜听凉雨	凉
一树梅花冻未消	消
又随新雨折新条	新
欲寻芳草桥边路	路
杨柳青青夹路遥	青
不作游人手	手
相从刮后来	剂
游人不相使	使
无复菊花开	复
渺渺长江水拍天	天
分明流水上青天	分明
老来万事全无事	全
不与渔人教钓船	教
把酒一樽酒	酒
清风一夜寒	寒
故人舟上去	舟
昨夜梦长安	梦
别恨都无恨	恨
梅花直不开	直
昨日桃花去	桃花
道人归去来	道人
不是富官官	官
病来过一年	病
老来忽忽忽	忽
不是此花然	花
怒雷轰怒雷	雷
惊起髑髅枯	枯
极目江山远	远
春风也自无	春风
把酒一杯酒	把酒
落日看青山	青山
不是洛阳女	女
也曾在世间	曾
牢落今牢落	落
秋风百尺台	台
游人还自笑	笑
生及到前回	生前
故国风光贯万寅	贯
行人何事未须开	须
东南南北东南海	海
犹有残书寄雁来	书
江上青山看白云	白云
隔溪流水是通津	流水
归来不向船头坐	坐
知是高秋寺里人	秋
杨柳桥边绿树阴	阴
桃花深处伴闲吟	伴
东风细雨随人去	人
不见梅花无处寻	寻
何处不为君	君
从我梦中卧	卧
不作箧中书	书
不知君知否	君
梦里寻花不见花	花
绿阴斜日影斜斜	斜
桃花只在桥边野	野
处处人家未到家	家
风雨到江南	江南
行人忆远公	公
故人争不去	争
细雨忽秋风	忽
江上万重山	山
扁舟日日闲	闲
看来觌面面	面
花影静空山	静
春色白如金	金
无穷亦有心	无穷
往来人不见	人
便是一生心	先生
柴门终日掩柴关	关
只在闲云杳霭间	间
遥望数峰垂尽处	垂
白云犹在五云间	云
疑是谪仙仙	仙
从来无此缘	缘
黄尘尘俗事	黄尘
知是几千年	百年
记得山头一秃翁	翁
西风吹帽起秋风	吹
白头春色浑如锦	锦
只在秋秋暮雨中	秋
宛转如轮转	转
峰头点点金	金
夜来明月月	月
一夜醉猿吟	醉
钟声一夜夜	一夜
月落空阶夏	夏
不是不愁人	人
孤松与松冷	松
百年无病病	病
心事自辽天	天
不是何人道	道
相思思黯然	思
日日出阊门	门
马上金车马	金
一璫都不解	解
把酒一樽酒	酒
细雨不成雨	雨
桃花不是春	春
满空芳草色	空
不是看花人	人
细雨初晴五日晴	晴
蓬窗细雨不分明	窗
小窗夜静珠帘静	静
折得春风自有情	春风
扁舟江上舟	舟
今日上扁舟	今日
天上两白鬓	绿鬓
何人学扁舟	学
江南湖上客	客
暮雨起西风	西风
千帆万帆尽	万
舟散白云中	散
银河河似河	河
明月倚危楼	倚
不是襄阳国	国
年来不胜流	胜
流水桥边路	路
朝来玉白头	玉
行人不相拟	拟
何处问江头	问
落尽江南国	国
秋风弄落花	弄
夜来人不见	人
多在两尧家	丈夫
百年无病病	病
心事亦无人	无人
唯有根根密	根
尊前亦不亲	前
流水桥边路	路
秋风动晚风	动
行人知此义	善
又倒石壶中	倒
白云千万里	万里
风雨到吴吴	吴
不是吴中楚	楚
斜阳水上亭	亭
一树桃花满眼青	青
西风吹作百般声	声
夕阳池上天如雨	天
忽听西风听雨声	忽
流水山前水	水
曾从马上来	曾
游人无处问	问
唯有清风来	清风
三十年来不可供	供
仙人那得白毛毛	仙人
如今不向山中在	山中
安得重来一梦无	梦
江上万重云	云
湖光照眼明	明
不知江上阁	阁
不肯听滩声	肯
白云千万里	万里
何处见亲亲	亲
欲与幽人伴	伴
如今怀主人	怀
水色秋光净	净
落花春草生	生
看来团鼻观	观
一笛吹猿声	吹
杜鹃声里听溪声	声
独向青山处处行	行
却忆一秋江上雁	秋
梅花如月月分明	月
柴门寂寂掩柴扉	掩
一树桃花血不归	血
一阵轻风轻柳色	轻
行人不得故人归	古人
三十年来事不堪	堪
不知何处到幽庵	幽
如今不是知师处	师
只有青山行一庵	行
疑是谪仙仙	仙
我不到扬州	扬州
何容不归去	容
流水绿风流	绿
江南湖上客	客
月上暮潮归	月过
惟有渔舟小	小
墙阴映绿微	阴
战战皆如战	战
床头蜡尚书	架
谁知夷帝子	夷
心是故人书	心
落日风光薄	薄
晴光满气虹	气
知君何处处	君
尚尚系危桥	尚
昨夜春风入帝乡	乡
断肠肠断断人肠	人
谁知万里无人信	信
赢得苏公上玉床	公
朝来一布衣	布衣
回头著衲衣	布衣
白头羞面面	羞
不是路人归	路
一溪流水下浯溪	溪
两岸藤藤挂剡溪	藤
隔岸舣舟人不见	人
扁舟重过画桥西	重
茅屋三间屋	屋
钟声到小窗	小窗
忽来池上客	客
窗外对斜阳	窗外
西风吹雨满天风	风
落尽晴空一扫空	空
只在此间无处处	间
不知心在白云中	心
往来天上人	人
便是一天风	风
扫不扫不扫	扫
不与主人同	主人
渺渺长江水拍天	天
西风吹客系渔船	客
渔人不得行人苦	苦
送送扁舟送钓船	相送
桃花开牡丹	牡丹
粉粉一时娇	娇
恨不随人见	人
侬家折柳条	家
一树桃花陌上莺	莺
更无人事最多情	人
年年不逐东风去	东风
今日谁怜送客情	怜
不向金门启	辟
还将影画眉	影
不知千树树	树
今古已多时	古
不知何处记当年	当年
直到壶中别有天	天
付与游人向东去	东
不知何处访逋仙	仙
来读读书书	书
春草草如草	草
春色已空空	空
朝来恐风雨	恐
往来天上人	人
不是一焚香	焚香
箧中无百舌	百
不是顾天光	顾
今日春来日日闲	闲
春风爽气逼人寒	寒
谁知不是花无意	花
分与江梅烂熳看	分
燕子溪头柳色新	新
家家沽酒买青春	买
桃花不被游人笑	笑
说与渔人作主人	渔人
燕子溪头柳色新	新
落花寒雨不宜春	寒
夕阳堤上桃花碧	碧
知是西湖万里春	春
江上万重云	云
江山江水中	江山
不知君不去	君
不见落花红	红
一叶枝头柿叶红	红
春光多在月明中	月明
谁知不是知音事	音
只在杨花万里风	风
石石石石石	石
婆娑如白莲	婆娑
谁知自有处	自有
为我梦中闲	闲
从来天地宽	宽
不是鬓毛残	残
莫嫌低头看	嫌
浮云隔里看	隔
不见梅花二十春	春
又翻深处见青春	翻
斜风细雨凌风去	风
刚被酸风作主人	风
从来陶靖节	节
何处有清风	清风
独有何人道	道
楼高第一峰	高
万事事难成	成
天风不有声	风
不知亲不祷	亲
犹听唱歌声	犹
三十年来四十秋	秋
西江流水水东流	水
青山处处随人见	人
只在蘋花最上头	花
往来天上人	人
拄杖杖杖杖	杖
细雨满林风	风
长松见松竹	松
小桥流水正弯环	回环
舟泛轻舟系钓湾	轻
买得渔人谁胜胜	胜
一蓑烟雨雨中山	雨
从来陶靖节	节
万事今谁复	复
怜我为谁怜	怜
一笑无一笑	一笑
二十年来何处游	游
故山不见故山愁	山
今朝日日呼归去	呼
犹在岩前一钓舟	犹
不是大文文	文
超然在其宇	宇
唯有天上云	云
不知雨中雨	雨
石上一株松	松
日日无归日	日
不得老僧闲	闲
清思无思思	清思
三十年来事未全	全
不知今日又春妍	春
不知日日无行处	行
今日往来迟黯然	迟
不知何处记当年	当年
老去从来忽忽然	忽
为报主人相报报	报
只教行客客潸然	客
春色白如金	金
明光视寸心	视
光光皆是野	野
处处是贤今	贤
陌上柳条短	短
落花如鉴咦	鉴
明朝出城市	市
那得到山林	山林
水色湖光照眼明	明
更於何处疾平生	疾
不知处处居何事	居
不是斯贤有姓名	贤
不作游人手	手
从来各自先	先
今年无此日	日
黄叶几三年	黄叶
忽忆当年忆昔年	忆
青山都在寺门边	门
归来处处君知否	君
却是西西一钓船	西
一树荷花带晓烟	烟
斜风细雨欲粘天	天
游人不得游人笑	笑
落日晴风吹钓船	风
终日对斋斋	斋
幽人与病来	病
不知民世事	民
挈鳖上山回	鳖
白玉钗头紫绣袍	朱
一帘风露卷珠帘	风
不知只在斜阳里	斜阳
赢得刘郎上画桥	郎
从来朝帝帝	帝
不见山中雨	雨
万事不知非	非
山中有香去	香
扬子山头不白头	头
水光明月照人钩	钩
孤舟独上扁舟去	孤舟
赢得朱芦最白头	朱
儿女蛾眉不画眉	眉
不知何处是愁时	愁
春愁不得愁愁绝	愁
正是愁愁听雨时	愁
佛法无佛法	法
不是如离眼	色相
明明照眼明	明
三千千万万	万
寒食年来岁岁寒	寒食
春风日日兴更阑	兴
不知何处无桃李	桃李
日日酸风耐岁寒	风
老子从来自有诗	诗
六宫何事更迟迟	宫
梅花处处无人识	识
今日吟吟不赋诗	吟
不在山中夜	夜
清光满海波	波
不知芳草草	草
不是奈师何	师
京国令人使	使
