三径入青山	三径
新来水一湾	新
可怜江上树	树
又见春风还	春风
江南陌上人	人
归去未还家	家
不向山中使	使
归来不自劳	劳
燕子归来一炷香	香
归来不得趣来忙	趣
老来不得人间事	人间
惟有东风也自凉	凉
腊尽梅花雪未消	消
把杯沽酒试新浇	新
马蹄踏断桥边路	路
却踏青鞋过石桥	青
自是维摩手	手
谁知嗜季伦	剂
谁能能使使	使
借问复何人	复
江北江南九月天	天
分明吹笛起风烟	分明
归来江上全无事	全
教我扁舟上钓船	教
绿酒一樽酒	酒
东风朱邸寒	寒
欲从舟上去	舟
欹枕梦长安	梦
遗恨不堪恨	恨
多情直更长	直
唯有桃花雨	桃花
道人已断肠	道人
万事不为官	官
归来病治安	病
朝来忽相见	忽
莫作对花看	花
一夜风雷吼怒雷	雷
凛然形势已枯摧	枯
形骸满目江山远	远
记得春风细雨来	春风
昔人谁把酒	把酒
佳处见青山	青山
不是谁家女	女
何人曾解颜	曾
处处坚牢落	落
萧然想像台	台
时时人语笑	笑
不得自生来	生前
万里黄河贯问津	贯
君王须识赤精神	须
至今四海平如海	海
不作中书万里人	书
海上青山挂白云	白云
小桥流水两三分	流水
行人莫作船头坐	坐
雨洗秋江一片云	秋
白玉阶前一树阴	阴
君王宫女伴园林	伴
斜风细雨随人去	人
流水落花无处寻	寻
春来不忆君	君
故作卧山云	卧
不与书相寄	书
看花却忆君	君
桃李无花未有花	花
濛濛细雨夕阳斜	斜
不知野绠知何处	野
明日归来不到家	家
江南风雨送春归	江南
归去东归公未归	公
鸥鸟争争栖泊处	争
忽随柳絮忽双飞	忽
昔日登山忆故山	山
老来春事不曾闲	闲
如今不见游人面	面
静对清风自往还	静
金缕金黄金缕金	金
顶踵无穷更不禁	无穷
居人不见陌上人	人
先生正是先生处	先生
柴门终日掩柴关	关
只在清泉水石间	间
只有落花垂著处	垂
不知随处在云山	云
万事从来不是仙	仙
老来何事不因缘	缘
如今不入黄尘处	黄尘
只在蓬莱二百年	百年
一室萧然一秃翁	翁
西风一叶吹秋风	吹
年来物色浑如锦	锦
只在千秋秋雨中	秋
万里车轮转	转
山光海涌金	金
可怜千里月	月
应是醉中心	醉
风雨梅花一夜开	一夜
长松偃蹇探春回	夏
不随明月随人去	人
折得松松带雨来	松
多病常多病	病
那知别有天	天
故人今有道	道
今日思悠然	思
行人到处不当门	门
争得籯金是主恩	金
自是主人今未解	解
归来消得酒消魂	酒
月明池上雨	雨
初见凤池春	春
一夜桃花雨	空
还惊陌上人	人
一雨都无十日晴	晴
绿阴欹枕听檐声	窗
小窗人静人心静	静
惟有春风自有情	春风
风雨送行舟	舟
今日不举头	今日
柳花如绿柳	绿鬓
个个学离愁	学
不是安禅客	客
西风送雨来	西风
不知千万寿	万
不见落花开	散
一派黄河出大河	河
闭门相倚为谁多	倚
谁知不是江南国	国
不是行人也胜何	胜
路接南州路	路
朝衣上玉颜	玉
梅花应不拟	拟
何处问南山	问
为国化为国	国
重来弄返魂	弄
春来人不见	人
不是丈夫论	丈夫
多病常多病	病
无人更无人	无人
归来卧病根	根
卧病起前神	前
路接南州路	路
临风动别情	动
如今若为善	善
颠倒向南行	倒
浮云一万里	万里
遥见浙东吴	吴
此去渺吴楚	楚
归来亭亦无	亭
已怯东风柳眼青	青
梦中无处不离声	声
蝉声过尽天如雨	天
忽听西窗听雨声	忽
自有一砚水	水
昔人曾不曾	曾
问来缘底事	问
何处有清风	清风
临水骊山供不供	供
仙人引得上层层	仙人
游人莫向山中去	山中
我欲登山梦不登	梦
出岫拥寒云	云
山花照眼明	明
不知天上阁	阁
谁肯共倾城	肯
归来一万里	万里
不见两交亲	亲
不得归来伴	伴
情怀是故人	怀
物色净无瑕	净
吾生本无瑕	生
谁能拥鼻观	观
横吹看梅花	吹
一声寥落隔檐声	声
飞到须弥顶上行	行
更欲凭阑对秋雨	秋
岳阳楼上月分明	月
柴门终日掩柴扉	掩
